income,saving,age,credit_card,churn
3829,602,51,1,0
7995,3306,40,1,0
6566,2973,56,1,0
2987,207,64,1,0
4843,900,54,1,0
9303,4570,64,0,0
1500,439,18,1,0
5142,1706,59,0,0
8532,448,37,1,0
4267,1144,64,0,0
4642,2297,42,1,0
5811,1272,23,1,0
8983,841,69,0,0
4722,1218,47,1,0
5112,2471,37,1,0
5131,1046,26,1,0
10412,4264,73,1,0
10374,4248,65,0,0
8008,1151,66,1,0
6772,1690,35,1,0
7475,2781,57,1,0
8981,2108,20,0,0
4128,561,53,0,0
8352,4054,23,1,0
3492,1197,61,0,1
4724,2076,55,1,0
7814,479,18,0,1
3143,535,36,1,0
5720,1578,55,1,0
4276,344,45,1,0
5489,2727,64,1,0
1500,235,26,1,0
2457,537,64,1,0
4600,673,27,1,0
7855,765,41,1,0
5653,874,43,0,1
6006,1113,25,0,0
7376,2475,22,1,0
4241,749,30,0,1
6567,1399,39,1,0
4389,231,51,1,0
2545,546,42,1,0
5218,1515,40,0,0
7148,879,58,0,1
6677,2129,65,0,0
5976,1087,38,1,0
10785,3607,20,1,0
6826,422,25,1,0
7957,3576,63,1,0
10476,600,67,1,0
3412,366,56,1,0
3922,1568,68,1,0
9487,670,56,1,0
4404,1629,39,1,0
6059,2951,62,1,0
8139,3600,28,1,0
7781,2876,40,1,0
9510,4577,66,1,0
8991,2189,33,0,0
8139,3604,69,0,0
4455,936,68,1,0
7590,3555,45,1,0
6629,775,52,0,0
3347,1583,59,1,0
8835,3752,46,1,0
7614,3280,73,1,0
6091,644,55,1,0
5534,1762,23,1,0
3603,207,66,1,0
6399,2397,31,1,0
6937,371,46,0,1
4338,382,66,1,0
8324,1261,45,1,0
3806,1689,27,0,1
1754,375,63,1,0
8079,2367,64,1,0
5193,1587,21,1,0
5748,871,41,1,0
4325,1330,19,1,0
2788,969,63,0,1
8510,1568,46,0,0
4622,1102,42,0,1
9322,2367,48,1,0
7615,3576,64,1,0
5370,1688,68,1,0
3828,1825,63,1,0
4535,1361,32,0,0
3575,984,55,1,0
10174,525,50,0,0
6329,1686,67,1,0
8300,3879,66,1,0
3465,483,25,1,0
6362,467,57,0,0
8356,1947,33,1,0
5330,1160,55,1,0
8062,3513,61,1,0
3831,237,58,1,0
3273,1519,51,0,0
6759,2409,23,0,0
5242,2395,56,1,0
7284,2356,57,0,0
2044,849,66,1,0
7425,1492,40,1,0
11197,2321,70,1,0
5951,1342,67,1,0
6068,2364,38,0,0
6359,1375,52,1,0
2276,362,64,1,1
6852,3234,46,1,0
2789,1279,52,1,0
5145,1065,19,1,0
8486,2848,50,1,0
4530,785,43,1,0
7002,1000,61,1,0
8025,1616,49,0,0
6557,1293,35,1,0
3258,1456,51,1,0
5335,2241,47,1,0
9919,3663,61,1,0
1950,939,40,1,1
5448,1308,65,1,0
4896,785,72,0,0
6241,642,37,1,0
7496,1390,63,1,0
9217,1063,40,1,0
5460,500,57,1,0
7625,2450,25,1,0
6999,1497,31,1,0
6949,2113,40,0,0
4872,663,63,0,0
4005,1420,31,1,0
3800,559,19,1,0
4487,786,21,1,0
6643,2550,41,1,0
7522,2271,68,1,0
6647,1334,53,0,0
4902,1443,26,1,0
9612,3482,33,0,0
9038,4162,49,0,0
5292,1648,49,0,0
4353,673,44,0,1
6260,2416,32,1,0
8535,3414,66,1,0
6666,934,21,0,0
7113,2982,53,1,0
5576,1445,42,1,0
6913,2771,32,1,0
9089,1426,29,1,0
5521,1102,24,1,0
6287,3013,53,1,0
6508,2252,41,0,0
6567,2612,23,1,0
3176,1143,65,1,0
2246,319,58,1,0
3961,1037,62,0,0
6336,2623,48,1,0
7108,2515,38,1,0
4939,260,28,1,0
8755,782,33,1,0
5714,1177,31,1,0
6041,2869,42,0,0
5612,1521,31,0,1
6268,1075,55,1,0
7409,1572,35,1,0
7331,1061,31,0,0
4203,1007,41,1,0
9047,1340,68,1,0
3810,1641,25,1,0
6158,1572,62,1,0
5451,959,42,0,0
3902,1833,51,1,0
5850,1120,62,1,0
4518,2075,61,1,0
6146,427,45,1,0
6806,2506,41,1,0
8944,2395,35,1,0
6615,1653,74,0,0
4778,317,51,1,0
5217,356,59,1,0
6280,1254,20,1,0
6187,2946,29,0,0
8919,2925,53,1,0
8791,1899,22,0,0
5282,1719,36,0,0
4903,700,29,1,0
1500,186,44,1,1
4902,1043,34,0,1
4044,1773,60,1,0
5290,1477,45,0,0
6783,1245,57,1,0
6354,3035,39,1,0
5940,2478,27,1,0
6399,1250,58,0,0
5748,2802,23,1,0
6394,3161,34,0,0
1500,351,29,1,1
5461,1885,23,1,0
5778,1344,60,1,0
5317,882,39,1,0
5564,485,67,0,0
